,Ticker,Year,MarketCap,TrailingPE,PriceToBook,PriceToSales,ReturnOnEquity,ReturnOnAssets,DebtToEquity,CurrentRatio,ProfitMargin,EpsGrowth5Y,RevenueGrowth,EpsGrowthYoY,Unnamed: 0
1,ACN,2023,209244408952.78125,30.450800153848867,8.144075045688071,3.263745339528369,0.2674502806015326,0.1340914450601865,0.9945364932228782,,0.1071809385316216,0.072,-0.0120918606597733,-0.054128221515648,
2,ACN,2022,164507164625.71875,23.92076806978551,7.441710068752469,2.670817774885499,0.311098291118509,0.1455073154930274,1.1380250887345695,,0.1116526763310341,0.072,-0.0392664401819042,0.000816699912407,
3,ACN,2021,219799694597.4375,37.211241229814185,11.254779298870185,4.3495933866109295,0.30245643324181,0.1368081915621196,1.2108064567498915,,0.1168892313951079,0.072,-0.1795769267954237,-0.1410987573520441,
0,ACRE,2024,304056992.46234894,-8.689080457872972,0.5629308992289828,-19.96041439390461,-0.0647860152703413,-0.0199822293893465,2.2421815408085437,,2.297183745815007,,,,
1,ACRE,2023,464176519.19460297,-11.942689664615305,0.7416749394735839,5.700173386317455,-0.0621028395028193,-0.0170485972970163,2.642694963162041,,-0.477293938500835,,-6.345762489332371,-0.1107078558568856,
2,ACRE,2022,438791071.97561264,14.731948026711857,0.5869800572218378,4.0239080019039,0.0398440217245899,0.0118053810500348,2.375072905797683,,0.273141609962768,,0.3391050201395029,1.766331335065737,
3,ACRE,2021,524299647.2600937,8.671843322198043,0.7725877023348486,5.136717781697613,0.0890915199490737,0.0229725385833018,2.87817478795452,,0.5923443944782452,,-0.0639821726610788,1.0298808124895082,
0,A,2024,38834401263.34863,30.12754170934727,6.584333886630829,5.965345816182586,0.2185486605629026,0.1088131014688502,1.0084774499830451,,0.1980030721966205,-0.286,,,
1,A,2023,36787647458.5332,29.66745762784936,6.293866117798666,5.383820790067789,0.2121471343028229,0.1152095140760011,0.8414029084687767,,0.1814722669398507,-0.286,0.049615975422427,-0.0380139643134212,
2,A,2022,41214741583.19873,32.86662008229564,7.769037056210882,6.018507824649348,0.2363807728557964,0.1190657045195594,0.985296889726673,,0.1831191588785046,-0.286,0.0021952290355627,0.0112903225806451,
3,A,2021,40301183263.51367,33.30676302769725,7.478415895994372,6.377778645911326,0.2245314529597327,0.1130312937879495,0.9864538875487104,,0.1914859946194018,-0.286,-0.0772488317757009,-0.0350877192982456,
0,ACTG,2024,409691446.9719544,-11.36232761937916,0.7957877860864456,3.3495605253119427,-0.070037391346574,-0.0476696007636231,0.4692254649638226,,-0.2947952776505985,,,,
1,ACTG,2023,374107907.5288124,5.578704257811101,0.6583323787254779,2.9904230750012983,0.1180081159175456,0.1058488347315502,0.1148740202651575,,0.5360425892471743,,0.0228105173654261,2.8598330421277423,
2,ACTG,2022,380839919.8286591,-3.045135887967529,1.4745234622450791,6.430608375608447,-0.4842225491714418,-0.2589723519862174,0.8697847297506582,,-2.1117640106039883,,-0.5266022925292961,-2.8649716671637337,
3,ACTG,2021,487590515.22896576,3.268098656333343,1.162499172046467,5.537843597498674,0.3557111624502602,0.1867633215498162,0.9046093178171484,,1.694515429259373,,0.4867028012765311,2.192955663055211,
0,ADBE,2024,178824990277.0996,32.16276803544957,12.678127633966652,8.315507569267593,0.3941864587025877,0.1839232550446576,1.1432116270825947,,0.2585445245291792,0.129,,,
1,ADBE,2023,249838445202.63672,46.0277165074865,15.125223707630266,12.872298686312366,0.3286112120111393,0.1822761006078108,0.8028211647899262,,0.2796640733680251,0.129,-0.0974657056498488,-0.0237410071942446,
2,ADBE,2022,145751880682.37305,30.64589585415749,10.373061040664227,8.2785346292385,0.3384812468863426,0.1750782256580158,0.9333143548501884,,0.2701351811882312,0.129,-0.0928950486887526,-0.1238025055268975,
3,ADBE,2021,217660345202.63672,45.13901808432947,14.709761789730129,13.789062097094504,0.3258768669324863,0.1770125913145626,0.840981279989187,,0.3054798859676908,0.129,-0.1034306486425082,0.0138772077375946,
0,ADC,2024,7538164080.574036,39.84293662465068,1.4129520308867132,12.2155649949749,0.0354630494282523,0.022294020370836,0.5906978121650684,,0.3065929881136616,-0.018,,,
1,ADC,2023,6564109564.716339,38.6217238552612,1.3064955999491938,12.21241046840685,0.0338279980677563,0.0218601395579276,0.5474740212940897,,0.3162057321463455,-0.018,-0.1289914842933422,-0.1016823733991553,
2,ADC,2022,7114317461.105347,46.67054232965321,1.5972879783747875,16.552084066841346,0.0342247571732183,0.0227070919647875,0.5072276637753317,,0.3546580613939983,-0.018,-0.2003386078010028,-0.1030954524326455,
3,ADC,2021,6553577464.782715,53.59791176124504,2.021033008977652,19.31368479231504,0.0377073087843507,0.0233929976930903,0.6119058052781536,,0.3603439790406191,-0.018,-0.2105352547846277,-0.1978784678260527,
0,ADCT,2024,190521012.06152344,-1.2070056387968238,-0.9401852136354923,2.689569180816853,0.7789401999585476,-0.4902354183489658,-2.588910492395456,,-2.22829877041659,,,,
1,ADCT,2023,205405464.09570312,-0.8556671405718868,-1.3855436737900635,2.9530099211550525,1.6192554418579552,-0.6766211363597928,-3.3931493635707493,,-3.4511199286926018,,-0.0180555359487273,-0.5208050885039849,
2,ADCT,2022,360203807.8359375,-2.2924227880195605,4.533659838591554,1.7160080027247056,-1.9776717725390487,-0.3201082184496974,5.178134951101937,,-0.748556510471254,,2.017740590586273,0.3454445476623912,
3,ADCT,2021,1964747905.09375,-8.541416644613001,11.82955966170795,57.92811584437745,-1.3849645970810656,-0.3722272206507738,2.720750445546939,,-6.782026712268184,,-0.8384196886254931,-0.4639402270760144,
0,ADI,2024,108425356972.41212,66.30413207605831,3.0823396597322037,11.501384454763205,0.0464878969563527,0.0339069338927451,0.371043961196961,,0.1734640676929428,0.871,,,
1,ADI,2023,91778241676.0254,27.68926058966324,2.580568728993124,7.458287010103774,0.0931974590161675,0.0679293874196174,0.3719755551520391,,0.2693566693827877,0.871,0.3053287433316322,1.0269270024026569,
2,ADI,2022,79308322088.0127,28.854488617139182,2.174897013472572,6.601351119653348,0.0753746511445956,0.0546408070398301,0.3794571352076053,,0.228780735200146,0.871,-0.0236955081772525,-0.170766181768484,
3,ADI,2021,78645131039.0625,56.56205888504533,2.0700149792309896,10.746386659261814,0.0365972353205531,0.0265742921376334,0.3771668923864057,,0.1899928480521258,0.871,-0.3908511211921671,-0.4941272906077034,
0,ADMA,2024,4430902912.502289,22.415316773167245,12.695342109869086,10.390107520394436,0.5663690697900968,0.4045056253811303,0.4001512815957916,,0.4635271330553823,0.414,,,
1,ADMA,2023,1210381420.9814072,-42.86204968240402,8.952128019329077,4.687494611007909,-0.2088590743014363,-0.0857853710105655,1.4346700590210493,,-0.1093623530778614,0.414,-0.3945067932297504,-1.1428571428571428,
2,ADMA,2022,837956337.7232552,-12.714802405366218,5.513813795275871,5.438449751578759,-0.4336531248766236,-0.1891287690731531,1.2928987853185414,,-0.4277258566978193,0.414,-0.4032879577096605,-1.333793689578243,
3,ADMA,2021,317516230.2453518,-4.431613307354732,2.2491355030364173,3.922713888110792,-0.5075207034205215,-0.2593567185965558,0.9568442497531708,,-0.8851661045427028,0.414,-0.4746690031152648,-0.0871570769604273,
0,ADM,2024,23439945530.206543,13.022191961225856,1.0573775500814933,0.2740552499731853,0.0811981234211476,0.0337894914681534,1.4030584626488631,,0.0210452472816555,-0.57,,,
1,ADM,2023,32078819071.783203,9.21011170593833,1.3293062768018895,0.3415001764175568,0.1443311785181501,0.0637550108912522,1.2638405436764462,,0.0370788311066162,-0.57,0.0982696130012861,0.935,
2,ADM,2022,37874756514.18799,8.72690242262396,1.5596588912118263,0.3729445479753829,0.1787184977763136,0.0726068190183022,1.4614561027837258,,0.0427350427350427,-0.57,0.0811305690104859,0.2460522538041918,
3,ADM,2021,30394590275.027344,11.219856136960995,1.3522529819383078,0.356538965560034,0.1205232014948614,0.0482578024796921,1.4974863193486676,,0.0317774988562915,-0.57,-0.1605715073457009,-0.3758064516129032,
0,ADP,2024,117270919165.6875,31.255575470599013,25.787430549232013,6.451290807281782,0.8250505761280675,0.0690179111780687,10.95415164042572,,0.2064044801654756,0.063,,,
1,ADP,2023,92472718653.78224,27.102203591378142,26.35226087993566,5.376695970287591,0.972329087230344,0.0669400247199387,13.525376877261976,,0.1983859339023652,0.063,-0.0538621072841197,-0.0906183368869936,
2,ADP,2022,92066746094.6338,31.220708092724,28.545172881478862,5.737497030170679,0.9143025454996434,0.0467573198537456,18.55421201128577,,0.1837721621537407,0.063,-0.0669988603856083,-0.1357268464243845,
3,ADP,2021,90094275916.56934,34.67164745682869,15.88936278312011,6.178034417922879,0.4582811590624503,0.0532779742682864,7.601700146381898,,0.1781869299869711,0.063,-0.0912036892780357,-0.1188239682593509,
0,ADSK,2024,63406876234.38672,69.98551460749086,34.18160443902249,11.534814668798749,0.4884097035040431,0.0914043583535108,4.343396226415094,,0.1648171730034564,-0.397,,,
1,ADSK,2023,50482461748.71826,61.33956470075123,44.08948624342207,10.086405943799852,0.7187772925764192,0.087200678109769,7.242794759825328,,0.1644355644355644,-0.397,-0.0895033654720756,-0.0916114790286975,
2,ADSK,2022,41177992871.40332,82.85310436902077,48.501758387989774,9.388507266621824,0.585394581861013,0.0577436969908214,9.137809187279151,,0.1133150934792521,-0.397,-0.1236763236763236,-0.3961117861482381,
3,ADSK,2021,56122051868.41992,,,,,,,,,-0.397,,,
0,ADTN,2024,839543046.6419678,-1.8255261499832955,6.6131266917312015,0.9098567784831452,-3.622586667296831,-0.3925930858215549,8.227331805184678,,-0.498407967747529,,,,
1,ADTN,2023,584238754.4650269,-2.173086882243862,0.9652738497283416,0.5084316025280888,-0.444194780068632,-0.1602751812285387,1.7714508051951483,,-0.2339674527891393,,0.2453398647477024,0.4154006057957211,
2,ADTN,2022,1516285497.771973,-744.3718693038649,1.5568348174266675,1.478529761775279,-0.0020914745460257,-0.0010481123173006,0.995467958445676,,-0.0019862783949076,,-0.1075311113044991,0.9924233407227768,
3,ADTN,2021,1564944907.977539,-181.23276293891595,4.382347082843387,2.7796337290277493,-0.0241807662796623,-0.0151752935325306,0.5934298883792306,,-0.0153373688286406,,-0.4510148839241138,-3.239077074128621,
0,ADV,2024,852940597.114563,-2.6086841807750227,1.1391755388950202,0.2391652012308929,-0.4366858768456129,-0.1052503495071811,3.1490206815495467,,-0.0916803969577638,,,,
1,ADV,2023,1206440649.2786407,-19.05247227312215,1.0914439335517605,0.3093338416790848,-0.0572862103093828,-0.0167548526548273,2.419081712597321,,-0.0162358898753245,,0.0935980578320982,0.8063322343269248,
2,ADV,2022,697270830.9288025,-0.5050809597075888,0.6203587527614393,0.1912247482350263,-1.2282362675492446,-0.3238838195924287,2.7922124948842506,,-0.3786021717107172,,-0.0650704785103041,-20.801475000789612,
3,ADV,2021,2373963895.6718445,43.56376657378509,0.9559649032611804,0.6590137450238277,0.0219440369473571,0.0093084225047435,1.3574388610072738,,0.0151275657927245,,-0.012078954744234,1.0394737318663425,
0,AEE,2024,23843174351.92871,20.1718903146605,1.9682329826588003,3.1277940905061934,0.0975730559683011,0.0265034306471142,2.681525507677068,,0.1550570641479732,0.092,,,
1,AEE,2023,19118453287.902832,16.59587959019343,1.6845936459514346,2.549127105053711,0.1015067406819984,0.0282145481263776,2.597673803859371,,0.1536,0.092,-0.0161353797717434,-0.0253807106598984,
2,AEE,2022,22383399057.9834,20.841153685273184,2.130129335552284,2.813044999118185,0.1022078416444613,0.0283347403967918,2.607156452226875,,0.1349754932763604,0.092,0.0609333333333333,-0.0677083333333333,
3,AEE,2021,21521022878.479004,21.73840694795859,2.218662152420516,3.365815276584142,0.102061855670103,0.0277039317196026,2.684020618556701,,0.1548326556146387,0.092,-0.1964308156340329,-0.0782122905027933,
0,AEHR,2024,490037216.7434693,14.779744744343986,4.391289926280943,7.400362692069668,0.2971154104648141,0.2592094565013447,0.1462367711236367,,0.5007097767978496,,,,
1,AEHR,2023,665390801.3568878,45.709335807988445,8.80146562641386,10.242927315726172,0.19255291005291,0.1483243838073016,0.2981878306878306,,0.2240882991333261,,-0.0189827539339756,-0.5609542767523223,
2,AEHR,2022,787453552.7137756,83.32841827659001,15.443596711325494,15.492210209010125,0.1853340916668301,0.1516172506738544,0.2223812979270038,,0.1859174880481615,,-0.2175459121626822,-0.3508277804492684,
